Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Student_A,"['School_B', 'School_A', 'School_C', 'School_D', 'School_E']","['School_B', 'School_A', 'School_C', 'School_D', 'School_E']","This is a random serial dictatorship: when it is my turn, I am assigned to the highest-ranked school on my submitted list that still has capacity. Since my position in the order is random and I cannot gain by misreporting (ranking a less-preferred school higher can only cause me to be assigned there when a more-preferred option was still available), the best strategy is to submit my true preference order.",True,School_B,True,True,1
1,Student_B,"['School_A', 'School_C', 'School_B', 'School_E', 'School_D']","['School_A', 'School_C', 'School_B', 'School_E', 'School_D']","This is a random serial dictatorship: when it is my turn, I am assigned my highest-ranked school that still has capacity. Reporting my true preference order is optimal because moving a less-preferred school above a more-preferred one can only cause me to be assigned the worse school in cases where the better one is still available, and it cannot improve my outcome when the better one is already full. Therefore, I should submit my true ranking unchanged.",True,School_A,True,True,1
1,Student_C,"['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","This is a random serial dictatorship: when it is my turn, I am assigned to the highest-ranked school on my submitted list that still has capacity. Since my serial order is random and I cannot benefit from misreporting, ranking schools in my true order is weakly optimal—if a higher-preferred school is available when I am called, listing it above others ensures I get it; if it is not available, listing it higher does not hurt because I then fall back to the next available option. I also exclude any schools not on my true list, preferring to remain unmatched otherwise.",True,School_C,True,True,1
1,Student_D,"['School_D', 'School_A', 'School_C', 'School_B', 'School_E']","['School_D', 'School_A', 'School_C', 'School_B', 'School_E']","This is a sequential random-serial-dictatorship process: when it is my turn, I receive the highest-ranked school on my submitted list that still has an open seat. Since my submission cannot affect which schools are available at my turn (only earlier students’ choices do), the best strategy is to list schools in my true preference order. Any misordering could only cause me to take a less-preferred school while a more-preferred one is still available.",True,School_D,True,True,1
1,Student_E,"['School_E', 'School_B', 'School_A', 'School_C', 'School_D']","['School_E', 'School_B', 'School_A', 'School_C', 'School_D']","This is a sequential priority (serial dictatorship) procedure: when it is my turn, I receive the highest-ranked school on my submitted list that still has an open seat. Since listing a less-preferred school above a more-preferred one can only cause me to be assigned the less-preferred school when both are available, the best strategy is to submit my true preference order (restricted to acceptable schools).",True,School_E,True,True,1
2,Student_A,"['School_B', 'School_A', 'School_C', 'School_D', 'School_E']","['School_B', 'School_A', 'School_C', 'School_D', 'School_E']","This is a serial dictatorship (random order) where each student gets their highest remaining option from their submitted list. Since my submitted list cannot affect availability and there is no advantage to misreporting under these rules, the best strategy is to submit my true preference order to maximize the chance of getting the best available school when it is my turn.",True,School_B,True,True,1
2,Student_B,"['School_A', 'School_C', 'School_B', 'School_E', 'School_D']","['School_A', 'School_C', 'School_B', 'School_E', 'School_D']","This is a random serial dictatorship: when it’s your turn, you get the highest-ranked school on your submitted list that still has capacity. Given no information about others’ preferences or your position in the random order, the best strategy is to report your true preferences in the exact order. Any reordering could only risk being assigned to a less-preferred school when a more-preferred one was still available at your turn.",True,School_A,True,True,1
2,Student_C,"['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","['School_C', 'School_B', 'School_A', 'School_D', 'School_E']","This is a random serial dictatorship: when it is my turn, I receive the highest-ranked school on my submitted list that still has an open seat. Given my true preferences and no downside to ranking a more-preferred school higher (it cannot reduce access to less-preferred schools if the higher one is unavailable), the optimal strategy is to submit my true preference order unchanged and exclude any unacceptable schools.",True,School_C,True,True,1
2,Student_D,"['School_D', 'School_A', 'School_C', 'School_B', 'School_E']","['School_D', 'School_A', 'School_C', 'School_B', 'School_E']","This is a sequential (serial dictatorship) assignment: when it is my turn, I am given the highest-ranked school on my submitted list that still has an open seat. Since listing a less-preferred school above a more-preferred one can only cause me to be assigned the less-preferred school even when the better one is still available, the optimal strategy is to submit my true preference order. I also exclude any schools not on my true list, as required, and prefer being unmatched to any unlisted option.",True,School_D,True,True,1
2,Student_E,"['School_E', 'School_B', 'School_A', 'School_C', 'School_D']","['School_E', 'School_B', 'School_A', 'School_C', 'School_D']","This is a random serial dictatorship: when it is my turn, I receive the highest-ranked school on my submitted list that still has capacity. Since my serial order is random and my list does not affect availability, the best strategy is to submit my true preference order so that in every possible availability situation I take my most-preferred remaining option, and I avoid listing any unacceptable schools.",True,School_E,True,True,1
