Trial,Agent,Matched_Partner,Stability,Efficiency
1,Seeker_A,Company_B,False,False
1,Seeker_B,Company_A,False,False
1,Seeker_C,Company_C,False,False
1,Seeker_D,Company_D,False,False
1,Seeker_E,Unmatched,False,False
2,Seeker_A,Company_B,True,True
2,Seeker_B,Company_A,True,True
2,Seeker_C,Company_C,True,True
2,Seeker_D,Company_D,True,True
2,Seeker_E,Company_E,True,True
3,Seeker_A,Company_B,False,False
3,Seeker_B,Company_A,False,False
3,Seeker_C,Company_C,False,False
3,Seeker_D,Company_D,False,False
3,Seeker_E,Unmatched,False,False
4,Seeker_A,Company_B,True,True
4,Seeker_B,Company_A,True,True
4,Seeker_C,Company_C,True,True
4,Seeker_D,Company_D,True,True
4,Seeker_E,Company_E,True,True
5,Seeker_A,Company_B,False,False
5,Seeker_B,Company_A,False,False
5,Seeker_C,Company_C,False,False
5,Seeker_D,Company_D,False,False
5,Seeker_E,Unmatched,False,False
6,Seeker_A,Company_B,True,True
6,Seeker_B,Company_A,True,True
6,Seeker_C,Company_C,True,True
6,Seeker_D,Company_D,True,True
6,Seeker_E,Company_E,True,True
7,Seeker_A,Company_B,True,True
7,Seeker_B,Company_A,True,True
7,Seeker_C,Company_C,True,True
7,Seeker_D,Company_D,True,True
7,Seeker_E,Company_E,True,True
8,Seeker_A,Company_B,False,False
8,Seeker_B,Company_A,False,False
8,Seeker_C,Company_C,False,False
8,Seeker_D,Company_D,False,False
8,Seeker_E,Unmatched,False,False
9,Seeker_A,Company_B,True,True
9,Seeker_B,Company_A,True,True
9,Seeker_C,Company_C,True,True
9,Seeker_D,Company_D,True,True
9,Seeker_E,Company_E,True,True
10,Seeker_A,Company_B,False,False
10,Seeker_B,Company_A,False,False
10,Seeker_C,Company_E,False,False
10,Seeker_D,Company_D,False,False
10,Seeker_E,Unmatched,False,False
11,Seeker_A,Company_B,False,False
11,Seeker_B,Company_A,False,False
11,Seeker_C,Company_C,False,False
11,Seeker_D,Company_D,False,False
11,Seeker_E,Unmatched,False,False
12,Seeker_A,Company_B,False,False
12,Seeker_B,Company_A,False,False
12,Seeker_C,Company_C,False,False
12,Seeker_D,Company_D,False,False
12,Seeker_E,Unmatched,False,False
13,Seeker_A,Company_B,True,True
13,Seeker_B,Company_A,True,True
13,Seeker_C,Company_C,True,True
13,Seeker_D,Company_D,True,True
13,Seeker_E,Company_E,True,True
14,Seeker_A,Company_B,False,False
14,Seeker_B,Company_A,False,False
14,Seeker_C,Company_D,False,False
14,Seeker_D,Company_C,False,False
14,Seeker_E,Unmatched,False,False
15,Seeker_A,Company_B,True,True
15,Seeker_B,Company_A,True,True
15,Seeker_C,Company_C,True,True
15,Seeker_D,Company_D,True,True
15,Seeker_E,Company_E,True,True
16,Seeker_A,Company_B,False,False
16,Seeker_B,Company_A,False,False
16,Seeker_C,Company_C,False,False
16,Seeker_D,Company_D,False,False
16,Seeker_E,Unmatched,False,False
17,Seeker_A,Company_B,False,False
17,Seeker_B,Company_A,False,False
17,Seeker_C,Company_E,False,False
17,Seeker_D,Company_D,False,False
17,Seeker_E,Company_C,False,False
18,Seeker_A,Company_B,True,True
18,Seeker_B,Company_A,True,True
18,Seeker_C,Company_C,True,True
18,Seeker_D,Company_D,True,True
18,Seeker_E,Company_E,True,True
19,Seeker_A,Company_B,True,True
19,Seeker_B,Company_A,True,True
19,Seeker_C,Company_C,True,True
19,Seeker_D,Company_D,True,True
19,Seeker_E,Company_E,True,True
20,Seeker_A,Company_B,True,True
20,Seeker_B,Company_A,True,True
20,Seeker_C,Company_C,True,True
20,Seeker_D,Company_D,True,True
20,Seeker_E,Company_E,True,True
21,Seeker_A,Company_B,True,True
21,Seeker_B,Company_A,True,True
21,Seeker_C,Company_C,True,True
21,Seeker_D,Company_D,True,True
21,Seeker_E,Company_E,True,True
22,Seeker_A,Company_B,True,True
22,Seeker_B,Company_A,True,True
22,Seeker_C,Company_C,True,True
22,Seeker_D,Company_D,True,True
22,Seeker_E,Company_E,True,True
23,Seeker_A,Company_B,True,True
23,Seeker_B,Company_A,True,True
23,Seeker_C,Company_C,True,True
23,Seeker_D,Company_D,True,True
23,Seeker_E,Company_E,True,True
24,Seeker_A,Company_B,True,True
24,Seeker_B,Company_A,True,True
24,Seeker_C,Company_C,True,True
24,Seeker_D,Company_D,True,True
24,Seeker_E,Company_E,True,True
25,Seeker_A,Company_B,True,True
25,Seeker_B,Company_A,True,True
25,Seeker_C,Company_C,True,True
25,Seeker_D,Company_D,True,True
25,Seeker_E,Company_E,True,True
26,Seeker_A,Company_B,False,False
26,Seeker_B,Company_A,False,False
26,Seeker_C,Company_C,False,False
26,Seeker_D,Company_E,False,False
26,Seeker_E,Company_D,False,False
27,Seeker_A,Company_B,False,False
27,Seeker_B,Company_A,False,False
27,Seeker_C,Company_C,False,False
27,Seeker_D,Company_D,False,False
27,Seeker_E,Unmatched,False,False
28,Seeker_A,Company_B,False,False
28,Seeker_B,Company_A,False,False
28,Seeker_C,Company_E,False,False
28,Seeker_D,Company_D,False,False
28,Seeker_E,Company_C,False,False
29,Seeker_A,Company_B,True,True
29,Seeker_B,Company_A,True,True
29,Seeker_C,Company_C,True,True
29,Seeker_D,Company_D,True,True
29,Seeker_E,Company_E,True,True
30,Seeker_A,Company_B,True,True
30,Seeker_B,Company_A,True,True
30,Seeker_C,Company_C,True,True
30,Seeker_D,Company_D,True,True
30,Seeker_E,Company_E,True,True
31,Seeker_A,Company_B,False,False
31,Seeker_B,Company_A,False,False
31,Seeker_C,Company_C,False,False
31,Seeker_D,Company_D,False,False
31,Seeker_E,Unmatched,False,False
32,Seeker_A,Company_B,True,True
32,Seeker_B,Company_A,True,True
32,Seeker_C,Company_C,True,True
32,Seeker_D,Company_D,True,True
32,Seeker_E,Company_E,True,True
33,Seeker_A,Company_B,False,False
33,Seeker_B,Company_A,False,False
33,Seeker_C,Company_C,False,False
33,Seeker_D,Company_E,False,False
33,Seeker_E,Company_D,False,False
34,Seeker_A,Company_B,True,True
34,Seeker_B,Company_A,True,True
34,Seeker_C,Company_C,True,True
34,Seeker_D,Company_D,True,True
34,Seeker_E,Company_E,True,True
35,Seeker_A,Company_B,True,True
35,Seeker_B,Company_A,True,True
35,Seeker_C,Company_C,True,True
35,Seeker_D,Company_D,True,True
35,Seeker_E,Company_E,True,True
36,Seeker_A,Company_B,False,False
36,Seeker_B,Company_A,False,False
36,Seeker_C,Company_C,False,False
36,Seeker_D,Company_D,False,False
36,Seeker_E,Unmatched,False,False
37,Seeker_A,Company_B,False,False
37,Seeker_B,Company_A,False,False
37,Seeker_C,Company_C,False,False
37,Seeker_D,Unmatched,False,False
37,Seeker_E,Company_E,False,False
38,Seeker_A,Company_B,True,True
38,Seeker_B,Company_A,True,True
38,Seeker_C,Company_C,True,True
38,Seeker_D,Company_D,True,True
38,Seeker_E,Company_E,True,True
39,Seeker_A,Company_B,True,True
39,Seeker_B,Company_A,True,True
39,Seeker_C,Company_C,True,True
39,Seeker_D,Company_D,True,True
39,Seeker_E,Company_E,True,True
40,Seeker_A,Company_B,False,False
40,Seeker_B,Company_A,False,False
40,Seeker_C,Company_E,False,False
40,Seeker_D,Company_D,False,False
40,Seeker_E,Unmatched,False,False
41,Seeker_A,Company_B,True,True
41,Seeker_B,Company_A,True,True
41,Seeker_C,Company_C,True,True
41,Seeker_D,Company_D,True,True
41,Seeker_E,Company_E,True,True
42,Seeker_A,Company_B,True,True
42,Seeker_B,Company_A,True,True
42,Seeker_C,Company_C,True,True
42,Seeker_D,Company_D,True,True
42,Seeker_E,Company_E,True,True
43,Seeker_A,Company_B,True,True
43,Seeker_B,Company_A,True,True
43,Seeker_C,Company_C,True,True
43,Seeker_D,Company_D,True,True
43,Seeker_E,Company_E,True,True
44,Seeker_A,Company_B,True,True
44,Seeker_B,Company_A,True,True
44,Seeker_C,Company_C,True,True
44,Seeker_D,Company_D,True,True
44,Seeker_E,Company_E,True,True
45,Seeker_A,Company_B,True,True
45,Seeker_B,Company_A,True,True
45,Seeker_C,Company_C,True,True
45,Seeker_D,Company_D,True,True
45,Seeker_E,Company_E,True,True
46,Seeker_A,Company_B,False,False
46,Seeker_B,Company_A,False,False
46,Seeker_C,Company_C,False,False
46,Seeker_D,Company_D,False,False
46,Seeker_E,Unmatched,False,False
47,Seeker_A,Company_B,True,True
47,Seeker_B,Company_A,True,True
47,Seeker_C,Company_C,True,True
47,Seeker_D,Company_D,True,True
47,Seeker_E,Company_E,True,True
48,Seeker_A,Company_B,False,False
48,Seeker_B,Company_A,False,False
48,Seeker_C,Company_D,False,False
48,Seeker_D,Company_C,False,False
48,Seeker_E,Company_E,False,False
49,Seeker_A,Company_B,False,False
49,Seeker_B,Company_A,False,False
49,Seeker_C,Company_C,False,False
49,Seeker_D,Company_D,False,False
49,Seeker_E,Unmatched,False,False
50,Seeker_A,Company_B,False,False
50,Seeker_B,Company_A,False,False
50,Seeker_C,Company_E,False,False
50,Seeker_D,Company_D,False,False
50,Seeker_E,Company_C,False,False
51,Seeker_A,Company_B,False,False
51,Seeker_B,Company_E,False,False
51,Seeker_C,Company_C,False,False
51,Seeker_D,Company_D,False,False
51,Seeker_E,Unmatched,False,False
52,Seeker_A,Company_B,True,True
52,Seeker_B,Company_A,True,True
52,Seeker_C,Company_C,True,True
52,Seeker_D,Company_D,True,True
52,Seeker_E,Company_E,True,True
53,Seeker_A,Company_B,False,False
53,Seeker_B,Company_A,False,False
53,Seeker_C,Company_C,False,False
53,Seeker_D,Company_D,False,False
53,Seeker_E,Unmatched,False,False
54,Seeker_A,Company_B,False,False
54,Seeker_B,Company_A,False,False
54,Seeker_C,Company_E,False,False
54,Seeker_D,Company_D,False,False
54,Seeker_E,Unmatched,False,False
55,Seeker_A,Company_B,False,False
55,Seeker_B,Company_A,False,False
55,Seeker_C,Company_D,False,False
55,Seeker_D,Company_C,False,False
55,Seeker_E,Unmatched,False,False
56,Seeker_A,Company_B,False,False
56,Seeker_B,Company_A,False,False
56,Seeker_C,Company_C,False,False
56,Seeker_D,Company_E,False,False
56,Seeker_E,Company_D,False,False
57,Seeker_A,Company_B,True,True
57,Seeker_B,Company_A,True,True
57,Seeker_C,Company_C,True,True
57,Seeker_D,Company_D,True,True
57,Seeker_E,Company_E,True,True
58,Seeker_A,Company_B,True,True
58,Seeker_B,Company_A,True,True
58,Seeker_C,Company_C,True,True
58,Seeker_D,Company_D,True,True
58,Seeker_E,Company_E,True,True
59,Seeker_A,Company_B,True,True
59,Seeker_B,Company_A,True,True
59,Seeker_C,Company_C,True,True
59,Seeker_D,Company_D,True,True
59,Seeker_E,Company_E,True,True
60,Seeker_A,Company_B,False,False
60,Seeker_B,Company_A,False,False
60,Seeker_C,Company_D,False,False
60,Seeker_D,Company_C,False,False
60,Seeker_E,Company_E,False,False
61,Seeker_A,Company_B,True,True
61,Seeker_B,Company_A,True,True
61,Seeker_C,Company_C,True,True
61,Seeker_D,Company_D,True,True
