Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Student_A,"['School_B', 'School_C', 'School_A', 'School_E', 'School_D']","['School_B', 'School_C', 'School_A', 'School_E', 'School_D']","The procedure is random-serial dictatorship: when it is my turn I get the highest-ranked remaining school on my submitted list. Since I cannot gain by misreporting under this take-it-or-leave-it sequential choice rule, the best strategy is to submit my true preference order so that in every possible availability set I pick my most-preferred remaining option.",True,School_A,False,True,3
1,Student_B,"['School_A', 'School_B', 'School_C', 'School_D', 'School_E']","['School_A', 'School_B', 'School_C', 'School_D', 'School_E']","This is a random serial dictatorship: when it’s my turn I get my top remaining school, so reporting my true preferences is optimal. Any misreport (e.g., putting School_B above School_A) can only hurt me in cases where School_A is still available when I’m called, and cannot improve my outcome when School_A is already taken (since then I would move to the next available school anyway). Therefore I should submit my true ranking.",True,School_E,False,True,5
1,Student_C,"['School_B', 'School_C', 'School_D', 'School_E', 'School_A']","['School_B', 'School_C', 'School_D', 'School_E', 'School_A']","This is a serial dictatorship: when my turn comes, I get the highest-ranked school on my submitted list that is still available. My report cannot affect earlier students’ choices, and listing a less-preferred school above a more-preferred one can only hurt me (if both are available, I’d be forced into the worse one). Therefore, the optimal strategy is to submit my true preference order.",True,School_B,False,True,1
1,Student_D,"['School_B', 'School_C', 'School_A', 'School_E', 'School_D']","['School_B', 'School_C', 'School_A', 'School_E', 'School_D']","This is a serial dictatorship (random order) mechanism: when it is my turn, I receive the highest-ranked school on my submitted list that is still available, and no school priorities matter. In such a setting, the best strategy is to report my true preference order so that in every possible position in the random serial order I select the most-preferred remaining school. Any misordering could only cause me to pick a less-preferred school when a more-preferred one is still available, without increasing my chances of getting a better school (since availability depends only on earlier students’ picks, not on my ranking).",True,School_C,False,True,2
1,Student_E,"['School_C', 'School_D', 'School_A', 'School_E', 'School_B']","['School_C', 'School_D', 'School_A', 'School_E', 'School_B']","This mechanism is a random serial dictatorship: when it is my turn, I get my highest-ranked remaining school from the list I submit. There is no benefit to misreporting because listing a less-preferred school above a more-preferred one can only cause me to be assigned the less-preferred school in cases where the better school is still available. Since availability depends only on earlier students’ picks (not on schools’ priorities), the optimal strategy is to submit my true preference order.",True,School_D,False,True,2
2,Student_A,"['School_B', 'School_C', 'School_A', 'School_E', 'School_D']","['School_B', 'School_C', 'School_A', 'School_E', 'School_D']","This is a random serial dictatorship: when it is my turn I get my highest-ranked remaining school, and my submitted list cannot affect which schools are taken before me. Therefore, any deviation from my true order can only (weakly) hurt me by causing me to pick a less-preferred school even when a more-preferred one is still available. So the optimal strategy is to submit my true preference list in the same order.",True,School_A,False,True,3
2,Student_B,"['School_A', 'School_B', 'School_C', 'School_D', 'School_E']","['School_A', 'School_B', 'School_C', 'School_D', 'School_E']","This is a random serial dictatorship: when it’s my turn I get my highest-ranked school still available, and my submitted list is binding. In this mechanism, reporting my true preference order is (weakly) optimal because moving a less-preferred school above a more-preferred one can only cause me to pick the worse school in states where both are available, and cannot help me obtain a better school when the better one is unavailable. Other students’ preferences/priorities do not create acceptance/rejection dynamics here—only availability—so there is no strategic benefit to misordering.",True,School_D,False,True,4
2,Student_C,"['School_B', 'School_C', 'School_D', 'School_E', 'School_A']","['School_B', 'School_C', 'School_D', 'School_E', 'School_A']","This is a sequential random-serial-dictatorship process: when it is my turn, I am assigned the highest-ranked school on my submitted list that is still available, and my list cannot affect which schools earlier students take. Therefore, listing my true favorite first is always weakly best (it can only help when it is available and cannot hurt because if it is taken, the algorithm simply moves to my next option). So I submit my true preference order without strategic misranking.",True,School_B,False,True,1
2,Student_D,"['School_B', 'School_C', 'School_A', 'School_E', 'School_D']","['School_B', 'School_C', 'School_A', 'School_E', 'School_D']","This is a random serial dictatorship: when it is my turn, I get my highest-ranked remaining school from the list I submit. Since I cannot gain access to a school by ranking it lower (and I would only risk ending up with a worse remaining option if a better one is still available), the best strategy is to report my true preference order. Therefore I should list schools exactly as my true ranking from best to worst.",True,School_E,False,True,4
2,Student_E,"['School_C', 'School_D', 'School_A', 'School_E', 'School_B']","['School_C', 'School_D', 'School_A', 'School_E', 'School_B']","This is a random serial dictatorship: when it is my turn, I get my highest-ranked remaining school from my submitted list, and there is no school-side priority in the allocation. In such a mechanism, reporting my true preference order is optimal because any misreport can only cause me to skip a more-preferred available school in favor of a less-preferred one, without increasing the chance of getting a better school (availability is determined solely by earlier students’ picks). Therefore I should submit my true ranking unchanged.",True,School_C,False,True,1
3,Student_A,"['School_B', 'School_C', 'School_A', 'School_E', 'School_D']","['School_B', 'School_C', 'School_A', 'School_E', 'School_D']","Because the mechanism is random serial dictatorship (students pick in random order) and schools do not use their priority lists at all, you should submit your true preference order. Any misreport (e.g., ranking a “safer” school higher) can only cause you to pick a less-preferred school in states where your top choice is still available, and it cannot improve your outcome when your top choices are already taken (you can always pick the best remaining option by keeping your true ranking). Thus truth-telling is a dominant strategy here.",True,School_E,False,True,4
3,Student_B,"['School_A', 'School_B', 'School_C', 'School_D', 'School_E']","['School_A', 'School_B', 'School_C', 'School_D', 'School_E']","This is a sequential (random-order) take-it-or-leave-it assignment: when I am called, I get my highest-ranked school still available, and no school priorities matter. Therefore, my best strategy is to list schools in my true preference order so that whenever I am reached, I take the best remaining option; moving a less-preferred school up could only cause me to be assigned to it even when a more-preferred school is still available.",True,School_A,False,True,1
