Trial,Agent,True_Preference,Submitted_List,Thought_Process,Is_Honest,Matched_Company,Stability,Efficiency,Result_Rank
1,Student_A,"['School_D', 'School_A', 'School_B', 'School_E', 'School_C']","['School_D', 'School_A', 'School_B', 'School_E', 'School_C']","This is a random serial dictatorship: when it is my turn, I receive the highest-ranked school on my submitted list that is still available, and no school priorities matter. Therefore, I should submit my true preference order so that in every possible position in the random order I pick my most-preferred remaining option; any misreport could only cause me to take a less-preferred school while a more-preferred one is still available.",True,School_D,False,True,1
1,Student_B,"['School_E', 'School_A', 'School_B', 'School_D', 'School_C']","['School_E', 'School_A', 'School_B', 'School_D', 'School_C']","This is a random serial dictatorship: you are called in a random order and get your highest-ranked school that is still available. Under this mechanism, reporting your true preference order is a dominant strategy because (1) your report cannot affect which schools are available when it is your turn, and (2) once it is your turn, listing any less-preferred school above a more-preferred available school can only weakly hurt you. Therefore, submit your true ranking unchanged.",True,School_E,False,True,1
1,Student_C,"['School_D', 'School_C', 'School_E', 'School_A', 'School_B']","['School_D', 'School_C', 'School_E', 'School_A', 'School_B']","This is a serial dictatorship: when it is my turn I get the highest-ranked school on my submitted list that is still available. Therefore, to maximize my outcome under any random position, I should rank schools in my true preference order; misreporting could only cause me to take a less-preferred school even when a more-preferred one is available. Given others’ top choices heavily target School_D, I still keep D first because if it remains available when I choose, it is my best outcome; otherwise I fall back to C, then E, then A, then B.",True,School_C,False,True,2
1,Student_D,"['School_D', 'School_B', 'School_C', 'School_A', 'School_E']","['School_D', 'School_B', 'School_C', 'School_A', 'School_E']","This is a random serial dictatorship: when it is my turn, I get the highest school on my submitted list that is still available, and schools do not use priorities. Therefore, listing a less-preferred school above a more-preferred one can only hurt me (it could cause me to take the worse school even when the better one is still available) and can never help me obtain a better school. So the optimal strategy is to submit my true preference order.",True,School_B,False,True,2
1,Student_E,"['School_D', 'School_E', 'School_C', 'School_B', 'School_A']","['School_D', 'School_E', 'School_C', 'School_B', 'School_A']","The mechanism is random serial dictatorship: when it is my turn, I get my highest-ranked school still available. In this setting, reporting my true preference order is optimal because moving a less-preferred school up cannot help me get a more-preferred one (availability is determined only by earlier students), and it can only cause me to take a worse school when a better one is still open. Therefore I should submit my true ranking.",True,School_A,False,True,5
2,Student_A,"['School_D', 'School_A', 'School_B', 'School_E', 'School_C']","['School_D', 'School_A', 'School_B', 'School_E', 'School_C']","This mechanism is random serial dictatorship: when it is my turn, I get my highest-ranked school that is still available, and my ranking does not affect which schools are taken before me. Therefore, the best strategy is to submit my true preference order so that in every possible serial position I select the best remaining option according to my real priorities (any misordering could only cause me to pick a less-preferred school when multiple options remain).",True,School_D,False,True,1
2,Student_B,"['School_E', 'School_A', 'School_B', 'School_D', 'School_C']","['School_E', 'School_A', 'School_B', 'School_D', 'School_C']","This is a random serial dictatorship: when my turn comes, I get my highest-ranked remaining school from my submitted list. Since I cannot benefit from listing a less-preferred school above a more-preferred one (it would only risk being assigned to the worse school while the better one might still be available), the optimal strategy is to submit my true preference order. This weakly dominates any misreport regardless of others' preferences and the random position I receive.",True,School_A,False,True,2
2,Student_C,"['School_D', 'School_C', 'School_E', 'School_A', 'School_B']","['School_D', 'School_C', 'School_E', 'School_A', 'School_B']","This is a serial dictatorship: when my turn comes, I get my highest-ranked remaining school from my submitted list. There is no benefit to misordering because earlier choices cannot be 'saved' for later, and listing a less-preferred school earlier can only cause me to take it even when a more-preferred option is still available. Therefore, the best strategy is to submit my true preference order.",True,School_C,False,True,2
2,Student_D,"['School_D', 'School_B', 'School_C', 'School_A', 'School_E']","['School_D', 'School_B', 'School_C', 'School_A', 'School_E']","This is a random-serial-dictatorship (sequential picking) mechanism: when it is my turn, I get my highest-ranked remaining school from the list I submit. Since I cannot gain access to a more-preferred school by ranking it lower, the best strategy is to submit my true preference order. This weakly dominates any misreport because it always gives me the best available option at my turn.",True,School_B,False,True,2
2,Student_E,"['School_D', 'School_E', 'School_C', 'School_B', 'School_A']","['School_D', 'School_E', 'School_C', 'School_B', 'School_A']","This is a random serial dictatorship: when it is my turn I get my highest-ranked remaining school from my submitted list. In this mechanism, reporting my true preference order is a dominant strategy—misordering can only cause me to take a less-preferred school when a more-preferred one is still available, and cannot help me obtain a school that would otherwise be unavailable (availability depends only on earlier students’ picks). Therefore I should submit my true ranking unchanged.",True,School_E,False,True,2
3,Student_A,"['School_D', 'School_A', 'School_B', 'School_E', 'School_C']","['School_D', 'School_A', 'School_B', 'School_E', 'School_C']","This is a serial dictatorship (random order) where you always get the highest-ranked school on your submitted list that is still available when your turn comes. Because no school priorities are used and there is no advantage to “safety” ordering (a lower-ranked school is only chosen if higher-ranked ones are already taken), the optimal strategy is to submit your true preference order to maximize the chance of receiving your most-preferred available school at your turn.",True,School_A,False,True,2
3,Student_B,"['School_E', 'School_A', 'School_B', 'School_D', 'School_C']","['School_E', 'School_A', 'School_B', 'School_D', 'School_C']","This is a random serial dictatorship: when it is my turn I receive my highest-ranked school that is still available, and schools do not use their priority lists at all. Therefore, misreporting cannot improve my outcome in any ordering—ranking a less-preferred school above a more-preferred one can only cause me to take the less-preferred school in cases where the better one was still available. So my best strategy is to submit my true preference order.",True,School_E,False,True,1
